2016-11-29 天融信 广东南洋电缆集团股份有限公司 投资
2016-11-29 康力电梯股份有限公司 广发证券 投资
2016-11-28 当升科技 星城石墨 投资
2016-11-28 星城石墨 当升科技 投资
2016-11-28 中科电气 星城石墨 投资
2016-11-28 当升科技 星城石墨 投资
2016-11-28 星城石墨 当升科技 投资
2016-11-28 中科电气 星城石墨 投资
2016-11-28 当升科技 星城石墨 投资
2016-11-28 当升科技 星城石墨 投资
2016-11-26 陕西国锂 西藏城投 投资
2016-11-26 西藏城投 上海建工 投资
2016-11-26 东方证券股份有限公司 西藏城投 投资
2016-11-26 陕西国锂 西藏城投 投资
2016-11-26 陕西国锂 西藏城投 投资
2016-11-26 浙江万事达集团 舟山存德医药有限公司 投资
2016-11-26 湖南景峰医药股份有限公司 广发证券股份有限公司 投资
2016-11-26 湖南景峰医药股份有限公司 广发证券股份有限公司 投资
2016-11-26 湖南景峰医药股份有限公司 广发证券股份有限公司 投资
2016-11-25 内蒙古天首科技发展股份有限公司 浙江四海氨纶纤维有限公司 投资
2016-11-25 建峰化工 重庆燃气集团股份有限公司 投资
2016-11-25 工商银行 西南证券 投资
2016-11-25 诚志股份 惠生能源 投资
2016-11-25 诚志股份 惠生能源 投资
2016-11-25 诚志股份 惠生能源 投资
2016-11-25 诚志股份 惠生能源 投资
2016-11-25 惠生能源 诚志股份 投资
2016-11-25 诚志股份 惠生能源 投资
2016-11-25 诚志股份 惠生能源 投资
2016-11-25 海通证券 浙江开尔新材料股份有限公司 投资
2016-11-24 广发证券 苏利股份 投资
2016-11-24 泰禾集团股份有限公司 国信证券 投资
2016-11-24 深圳市兆新能源股份有限公司 河南协通新能源开发有限公司 投资
2016-11-24 航天科技 宗申动力 投资
2016-11-24 广州普邦园林股份有限公司 普邦股份 投资
2016-11-24 广发证券股份有限公司 普邦股份 投资
2016-11-23 云内动力 科力远 投资
2016-11-23 广发证券 浙江仙通 投资
2016-11-23 中国农业银行股份有限公司 浔兴股份 投资
2016-11-23 中国农业银行股份有限公司 浔兴股份 投资
2016-11-23 北京大北农科技集团股份有限公司 海通证券 投资
2016-11-22 太平洋 华鑫股份 投资
2016-11-22 太平洋 华鑫股份 投资
2016-11-22 太平洋 华鑫股份 投资
2016-11-21 中信证券 驰宏锌锗 投资
2016-11-21 中信证券 驰宏锌锗 投资
2016-11-19 太平洋 华鑫股份 投资
2016-11-19 太平洋 华鑫股份 投资
2016-11-19 太平洋 华鑫股份 投资
2016-11-19 太平洋 华鑫股份 投资
2016-11-19 太平洋 华鑫股份 投资
2016-11-19 国金证券 润达医疗 投资
2016-11-19 上海姚记扑克股份有限公司 海通证券 投资
2016-11-18 国信证券 南山铝业 投资
2016-11-18 天药股份 天津天药药业股份有限公司 投资
2016-11-18 广发证券 如通股份 投资
2016-11-18 中国航空工业集团 中航资本 投资
2016-11-18 中国航空工业集团 中航资本 投资
2016-11-18 中国航空工业集团 中航资本 投资
2016-11-18 中国航空工业集团 中航资本 投资
2016-11-18 中国航空工业集团 中航资本 投资
2016-11-18 中国航空工业集团 中航资本 投资
2016-11-18 中航资本 石油济柴 投资
2016-11-18 中国航空工业集团 中航资本 投资
2016-11-18 中国航空工业集团 中航资本 投资
2016-11-18 北京碧水源科技股份有限公司 中关村 投资
2016-11-18 北京碧水源科技股份有限公司 中关村 投资
2016-11-18 长江润发 长江投资 投资
2016-11-18 长江润发 长江投资 投资
2016-11-18 东方证券 新疆贝肯能源工程股份有限公司 投资
2016-11-18 东方证券 贝肯能源 投资
2016-11-18 迪安诊断 杭州德格医疗设备有限公司 投资
2016-11-18 迪安诊断 杭州德格医疗设备有限公司 投资
2016-11-18 浙江迪安诊断技术股份有限公司 杭州德格医疗设备有限公司 投资
2016-11-18 浙江迪安诊断技术股份有限公司 杭州德格医疗设备有限公司 投资
2016-11-18 迪安诊断 杭州德格医疗设备有限公司 投资
2016-11-18 浙江迪安诊断技术股份有限公司 杭州德格医疗设备有限公司 投资
2016-11-17 长江润发 长江投资 投资
2016-11-17 长江润发 长江投资 投资
2016-11-17 长江润发 长江投资 投资
2016-11-17 长江润发 长江投资 投资
2016-11-17 信息发展 农产品 投资
2016-11-17 信息发展 农产品 投资
2016-11-16 国泰君安 南京新街口百货商店股份有限公司 投资
2016-11-16 国泰君安 南京新街口百货商店股份有限公司 投资
2016-11-16 永清环保股份有限公司 新余钢铁股份有限公司 投资
2016-11-16 永清环保股份有限公司 新余钢铁股份有限公司 投资
2016-11-15 国轩高科股份有限公司 上海汽车集团股份有限公司 投资
2016-11-10 申万宏源 贵州百灵 投资
2016-11-10 国信证券 共达电声 投资
2016-11-09 国信证券 南山铝业 投资
2016-11-09 哈尔滨誉衡药业股份有限公司 仟源医药 投资
2016-11-09 国信证券 共达电声 投资
2016-11-09 深圳市科陆电子科技股份有限公司 恒华科技 投资
2016-11-08 太平洋 华鑫股份 投资
2016-11-08 太平洋 华鑫股份 投资
2016-11-08 太平洋 华鑫股份 投资
2016-11-08 太平洋 华鑫股份 投资
2016-11-08 太平洋 华鑫股份 投资
2016-11-08 兴业证券 鼎汉技术 投资
2016-11-07 珺文银宝 深圳市银宝山新科技股份有限公司 投资
2016-11-07 国信证券 通产丽星 投资
2016-11-07 中信证券 智慧松德 投资
2016-11-05 中国中煤能源集团 国投新集 投资
2016-11-03 招商证券 通富微电 投资
2016-11-03 招商证券 通富微电 投资
2016-11-03 招商证券 通富微电 投资
2016-11-03 招商证券 通富微电 投资
2016-11-01 世纪游轮 海通证券 投资
2016-11-01 安徽金禾实业股份有限公司 兴业银行股份有限公司 投资
2016-11-01 安徽金禾实业股份有限公司 兴业银行股份有限公司 投资
2016-11-01 国信证券 共达电声 投资
2016-10-31 当代明诚 国金证券股份有限公司 投资
2016-10-31 陕国投 陕西煤业 投资
2016-10-31 陕国投 陕西煤业 投资
2016-10-31 云南铝业股份有限公司 云南文山铝业有限公司 投资
2016-10-31 招商局蛇口工业区控股股份有限公司 工商银行 投资
2016-10-31 招商局蛇口工业区控股股份有限公司 工商银行 投资
2016-10-31 招商局蛇口工业区控股股份有限公司 工商银行 投资
2016-10-31 招商局蛇口工业区控股股份有限公司 工商银行 投资
2016-10-31 航天科技 宗申动力 投资
2016-10-31 上海医药 中国医药 投资
2016-10-29 中信证券 驰宏锌锗 投资
2016-10-29 天龙集团 广东天龙油墨集团股份有限公司 投资
2016-10-29 上海永利带业股份有限公司 模塑科技 投资
2016-10-28 南京高科 南京银行 投资
2016-10-28 莱茵达体育发展股份有限公司 莱茵体育 投资
2016-10-28 莱茵达体育发展股份有限公司 莱茵体育 投资
2016-10-28 长江证券股份有限公司 山东胜利股份有限公司 投资
2016-10-28 省广股份 广东省广告集团股份有限公司 投资
2016-10-28 亚玛顿 太阳能 投资
2016-10-28 亚玛顿 太阳能 投资
2016-10-28 赛为智能 机器人 投资
2016-10-28 三维丝 国泰君安 投资
2016-10-28 蓝盾信息安全技术股份有限公司 广发证券 投资
2016-10-28 绿盟科技 北京神州绿盟信息安全科技股份有限公司 投资
2016-10-27 神州高铁技术股份有限公司 中关村 投资
2016-10-27 神州高铁技术股份有限公司 中关村 投资
2016-10-27 东华能源股份有限公司 第一创业 投资
2016-10-27 海源机械 福建海源自动化机械股份有限公司 投资
2016-10-27 北京立思辰科技股份有限公司 江苏中泰桥梁钢构股份有限公司 投资
2016-10-27 北京立思辰科技股份有限公司 江苏中泰桥梁钢构股份有限公司 投资
2016-10-26 四川浩物机电股份有限公司 浩物股份 投资
2016-10-26 四川浩物机电股份有限公司 浩物股份 投资
2016-10-26 武汉高德红外股份有限公司 广发证券 投资
2016-10-26 唐人神集团股份有限公司 西南证券 投资
2016-10-26 国信证券 共达电声 投资
2016-10-25 北京利德曼生化股份有限公司 九州通 投资
2016-10-25 北京利德曼生化股份有限公司 九州通 投资
2016-10-25 北京利德曼生化股份有限公司 九州通 投资
2016-10-25 陕国投 陕西省国际信托股份有限公司 投资
2016-10-25 陕国投 陕西省国际信托股份有限公司 投资
2016-10-25 步森股份 浙江步森服饰股份有限公司 投资
2016-10-25 瑞普生物 中信证券股份有限公司 投资
2016-10-24 西安民生 海航投资 投资
2016-10-24 西安民生 海航投资 投资
2016-10-24 西安民生 海航投资 投资
2016-10-24 富春环保 上海莱士血液制品股份有限公司 投资
2016-10-24 富春环保 上海莱士血液制品股份有限公司 投资
2016-10-24 安徽省司尔特肥业股份有限公司 机器人 投资
2016-10-24 安徽省司尔特肥业股份有限公司 机器人 投资
2016-10-24 安徽省司尔特肥业股份有限公司 机器人 投资
2016-10-22 用友网络科技股份有限公司 中关村 投资
2016-10-22 用友网络科技股份有限公司 中关村 投资
2016-10-22 贵人鸟股份有限公司 名鞋库网络科技有限公司 投资
2016-10-22 神州高铁技术股份有限公司 中关村 投资
2016-10-22 云南文山铝业有限公司 云铝股份 投资
2016-10-22 苏州电器科学研究院股份有限公司 电科院 投资
2016-10-22 宁波鲍斯能源装备股份有限公司 鲍斯股份 投资
2016-10-21 世纪游轮 海通证券 投资
2016-10-21 北京立思辰科技股份有限公司 中关村 投资
2016-10-21 北京立思辰科技股份有限公司 中关村 投资
2016-10-21 北京立思辰科技股份有限公司 中关村 投资
2016-10-21 北京三聚环保新材料股份有限公司 中关村 投资
2016-10-21 北京三聚环保新材料股份有限公司 中关村 投资
2016-10-21 北京三聚环保新材料股份有限公司 中关村 投资
2016-10-21 北京三聚环保新材料股份有限公司 中关村 投资
2016-10-21 三聚环保 中关村 投资
2016-10-21 三聚环保 中关村 投资
2016-10-21 北京三聚环保新材料股份有限公司 中关村 投资
2016-10-21 恒泰艾普集团股份有限公司 中关村 投资
2016-10-21 恒泰艾普集团股份有限公司 中关村 投资
2016-10-21 恒泰艾普集团股份有限公司 中关村 投资
2016-10-21 恒泰艾普 中关村 投资
2016-10-21 北京旋极信息技术股份有限公司 中关村 投资
2016-10-20 昆药集团 西藏藏药（集团）利众院生物科技有限公司 投资
2016-10-20 天津港 天津天保基建股份有限公司 投资
2016-10-20 天津港 天津天保基建股份有限公司 投资
2016-10-20 招商证券 通富微电 投资
2016-10-20 招商证券 通富微电 投资
2016-10-20 招商证券 通富微电 投资
2016-10-20 招商证券 通富微电 投资
2016-10-20 招商证券 通富微电 投资
2016-10-20 招商证券 通富微电 投资
2016-10-20 招商证券 通富微电 投资
2016-10-20 招商证券 通富微电 投资
2016-10-20 珈伟股份 博威合金 投资
2016-10-20 珈伟股份 博威合金 投资
2016-10-18 国泰君安证券股份有限公司 圆通速递 投资
2016-10-18 国泰君安证券股份有限公司 圆通速递 投资
2016-10-18 东方雨虹 华夏幸福 投资
2016-10-18 中房地产 深南电 投资
2016-10-18 长江润发机械股份有限公司 贝斯特 投资
2016-10-17 中国建设银行股份有限公司 锡业股份 投资
2016-10-17 中国建设银行股份有限公司 锡业股份 投资
2016-10-14 青岛海尔 星美联合股份有限公司 投资
2016-10-14 东吴证券股份有限公司 飞力达 投资
2016-10-13 九牧王 中国民生银行股份有限公司 投资
2016-10-13 赛为智能 机器人 投资
2016-10-12 长江电力 国投电力 投资
2016-10-12 中信证券 招商银行股份有限公司 投资
2016-10-12 中信证券 招商银行股份有限公司 投资
2016-10-12 合肥合锻智能制造股份有限公司 国元证券 投资
2016-10-12 合肥合锻智能制造股份有限公司 国元证券 投资
2016-10-11 海通证券 新华传媒 投资
2016-10-11 海通证券 新华传媒 投资
2016-10-10 深圳中国农大科技股份有限公司 国农科技 投资
2016-10-10 工商银行 西南证券 投资
2016-10-10 国信证券股份有限公司 完美世界 投资
2016-10-10 国信证券股份有限公司 完美世界 投资
2016-10-10 国信证券股份有限公司 完美世界 投资
2016-10-01 宝钢股份 武汉钢铁股份有限公司 投资
2016-10-01 宝钢股份 武汉钢铁股份有限公司 投资
2016-10-01 东方证券 号百控股 投资
2016-09-30 中国东方红卫星股份有限公司 恒星科技 投资
2016-09-30 中国东方红卫星股份有限公司 恒星科技 投资
2016-09-30 中国卫星 恒星科技 投资
2016-09-30 中国东方红卫星股份有限公司 恒星科技 投资
2016-09-30 安徽德力日用玻璃股份有限公司 中信证券股份有限公司 投资
2016-09-30 北京京西文化旅游股份有限公司 北京文化 投资
2016-09-30 工商银行 三钢闽光 投资
2016-09-30 工商银行 三钢闽光 投资
2016-09-30 工商银行 三钢闽光 投资
2016-09-30 工商银行 三钢闽光 投资
2016-09-30 工商银行 三钢闽光 投资
2016-09-30 中房地产 深南电 投资
2016-09-30 中房地产 深南电 投资
2016-09-30 金发拉比妇婴童用品股份有限公司 广发证券 投资
2016-09-30 成都华气厚普机电设备股份有限公司 云南能投 投资
2016-09-29 天通控股股份有限公司 天通股份 投资
2016-09-29 厦门宏仁医药有限公司 厦门片仔癀宏仁医药有限公司 投资
2016-09-29 新奥生态控股股份有限公司 新奥股份 投资
2016-09-29 新奥生态控股股份有限公司 新奥股份 投资
2016-09-29 海通证券 三联商社 投资
2016-09-29 海通证券 三联商社 投资
2016-09-29 跨境通宝电子商务股份有限公司 广发证券 投资
2016-09-29 津膜科技 天津膜天膜科技股份有限公司 投资
2016-09-28 吉林森工 长白山旅游股份有限公司 投资
2016-09-28 吉林森工 长白山旅游股份有限公司 投资
2016-09-28 诚志股份 惠生能源 投资
2016-09-28 诚志股份 惠生能源 投资
2016-09-28 诚志股份 惠生能源 投资
2016-09-28 惠生能源 诚志股份 投资
2016-09-28 诚志股份 惠生能源 投资
2016-09-28 诚志股份 惠生能源 投资
2016-09-28 北方国际 九鼎新材 投资
2016-09-28 兴业证券 中国长江电力股份有限公司 投资
2016-09-28 中信证券股份有限公司 奥瑞金 投资
2016-09-27 金陵饭店股份有限公司 永泰能源股份有限公司 投资
2016-09-27 安徽华茂纺织股份有限公司 先锋新材 投资
2016-09-27 西安天和防务技术股份有限公司 中关村 投资
2016-09-27 南京高科 江苏舜天 投资
2016-09-26 西南证券 天利高新 投资
2016-09-26 西南证券 天利高新 投资
2016-09-26 万集科技 中航电测 投资
2016-09-23 宝钢股份 武汉钢铁股份有限公司 投资
2016-09-23 宝钢股份 武汉钢铁股份有限公司 投资
2016-09-23 当代明诚 国金证券股份有限公司 投资
2016-09-23 珈伟股份 博威合金 投资
2016-09-23 珈伟股份 博威合金 投资
2016-09-23 北京高能时代环境技术股份有限公司 高能环境 投资
2016-09-23 格力电器 珠海银隆 投资
2016-09-23 招商银行股份有限公司 格力电器 投资
2016-09-23 珠海银隆 珠海格力电器股份有限公司 投资
2016-09-23 珠海银隆 格力电器 投资
